0.008485712847924197 - 1.9117678043523605im	0.008485712847923403 + 1.911767804352358im	0.0339964308749116 + 1.6551930970815065im	0.033996430874910256 - 1.6551930970815043im	0.07735642561504653 - 1.2543980428997235im	0.07735642561504565 + 1.2543980428997232im	0.14315962824248174 + 0.7509035147647859im	0.14315962824248135 - 0.7509035147647858im	0.23700180241963767 + 0.22800317942106785im	0.23700180241963767 - 0.22800317942106788im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
0.005036677566250699 + 1.9374741198723968im	0.005036677566250616 - 1.9374741198723964im	0.020162885786953633 - 1.7539191121431406im	0.02016288578695375 + 1.7539191121431383im	0.045614564762589044 + 1.4612501491174597im	0.045614564762589516 - 1.4612501491174579im	0.08264187435694767 + 1.0790739469083155im	0.08264187435694739 - 1.0790739469083155im	0.1359703368575866 - 0.6365383532934095im	0.13597033685758664 + 0.6365383532934092im	0.21057366066967215 + 0.19313105278799614im	0.21057366066967215 - 0.19313105278799614im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
3.391695286587756 - 0.1016149728570651im	3.336324652961036 + 2.26703669605957e-11im	3.391695286595788 + 0.1016149728348985im	1.9469846189343987 - 0.3079087947002373im	1.9469846189328832 + 0.30790879470073584im	1.7653465495341798 - 1.0046433698894756e-12im	0.5488531758591252 + 0.38270944668307505im	0.5488531758591277 - 0.3827094466830725im	0.2998191172637801 - 2.142356961222787e-16im	-0.08827824126403805 + 0.14310834125174407im	-0.08827824126403806 - 0.14310834125174407im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
-0.026360891063244872 + 1.8839485925326818im	-0.026360891062482437 - 1.883948592532366im	-4.868415193291341e-14 + 1.879385241572386im	-8.442841829476789e-13 - 1.8793852415725496im	-0.10487661774035774 + 1.5524918200616327im	-2.756137945291652e-13 - 1.5320888862382687im	9.330190237477502e-14 + 1.532088886238206im	-0.23406243451263423 - 1.0587784406456116im	-0.4791533488483258 + 5.596563121323148e-16im	-0.10487661773995081 - 1.5524918200616955im	-0.23406243451264427 + 1.0587784406455827im	-0.3951233822596518 - 0.5068439018059827im	-0.3951233822596495 + 0.506843901805983im	1.479949396657194e-14 + 1.0000000000000075im	2.173169351504221e-15 - 1.0000000000000058im	7.94241050130005e-17 - 0.3472963553338608im	2.9345334669181344e-17 + 0.34729635533386066im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
-1.46201867803413 + 1.043572134294347im	-1.4620186780341298 - 1.0435721342943467im	0.7625033580920287 + 4.1268462585027794e-17im	-1.5045795913496098 - 0.34276716392637185im	-1.504579591349609 + 0.3427671639263715im	0.17069318067545008 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
3.770912051306387 - 0.0im	3.1361294934623687 + 0.0im	2.241073360510619 + 0.0im	1.2907902259149315 + 0.0im	0.5029785036577981 + 0.0im	0.05811636514789595 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
3.6718428304088073 + 0.03996852792366775im	3.6521073676075257 - 9.809295016389666e-9im	3.671842833497432 - 0.03996851828253516im	2.7973215764248462 + 0.13975241720764728im	2.797321575192415 - 0.13975241845402256im	2.7252912366756457 + 1.4214681772070542e-9im	1.668285075458037 - 0.24540598210840697im	1.66828507545621 + 0.24540598209859893im	1.5320646731594922 + 2.9789468731958066e-12im	0.655211142187746 - 0.2851584383307763im	0.6552111421877347 + 0.285158438330688im	0.4816379106848338 - 1.3159757247583973e-14im	0.05640746054063483 - 0.19120463401158422im	0.0564074605406349 + 0.19120463401158433im	-0.08923736002199253 - 8.67746995743113e-30im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
1.5535442806791089 + 1.0056498593255092im	1.5535442806790773 - 1.0056498593255145im	-0.7191955453419205 + 0.07506860302987524im	1.3636868093075136 + 0.9681154260900318im	1.718282535579728 - 0.34130692014350583im	1.7182825355797076 + 0.3413069201434937im	-0.7191955453419202 - 0.07506860302987524im	1.3636868093075336 - 0.9681154260900178im	1.3161909355137278 + 3.5674966094532235e-15im	-0.07441354798127818 - 0.2095005709343147im	-0.07441354798127817 + 0.2095005709343147im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
-2.6466442828468986 + 0.33954818462317865im	-2.6181108191927223 + 0.42630208682732057im	-2.473688149727385 - 6.513349355362349e-10im	-2.646644282291731 - 0.3395481840796336im	-2.3218998887462066 - 0.2265386354621875im	-2.6181108195989515 - 0.4263020869620551im	-0.48854129305198396 - 0.5826008424523887im	0.3229326692947815 - 0.08219454041242794im	-0.35773270687641057 - 0.6871039427447745im	-0.023890947880472913 + 0.38509801643930097im	-2.3218998885128315 + 0.2265386357045824im	-0.3577327068763366 + 0.6871039427445305im	-0.023890947880459985 - 0.38509801643932784im	0.3229326692947985 + 0.08219454041242169im	-0.48854129305204785 + 0.5826008424527955im	-0.25853731205513797 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
0.3391100433043669 - 0.8223754344096801im	-0.7668257939012281 + 5.19222335141257e-16im	0.3391100433043665 + 0.8223754344096796im	-1.3006554234952457 + 2.8097122793947144e-16im	-0.69710733750819 - 1.3854542120559608im	-0.6971073375081905 + 1.385454212055962im	-0.45569714635375236 - 1.2001520964613062im	-0.45569714635375247 + 1.2001520964613035im	-0.15256495074418777 - 0.9672660419106623im	-0.15256495074418644 + 0.9672660419106633im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
